Format Version,1.1,Take Name,Take 2024-07-23 01.09.45 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2024-07-23 01.09.45.660 PM,Total Frames,52975,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
492,9.647059,-0.759011,0.438494,0.741270
493,9.666667,-0.759113,0.438616,0.741331
494,9.686275,-0.759245,0.438704,0.741368
495,9.705882,-0.759310,0.438880,0.741419
496,9.725490,-0.759293,0.439003,0.741461
497,9.745098,-0.759242,0.439005,0.741476
498,9.764706,-0.759158,0.438938,0.741524
499,9.784314,-0.759052,0.438880,0.741613
500,9.803922,-0.758947,0.438893,0.741732
501,9.823529,-0.758881,0.438956,0.741830
502,9.843137,-0.758875,0.439054,0.741857
503,9.862745,-0.758904,0.439246,0.741850
504,9.882353,-0.758968,0.439445,0.741831
505,9.901961,-0.758986,0.439563,0.741837
506,9.921569,-0.758962,0.439563,0.741808
507,9.941176,-0.758857,0.439537,0.741804
508,9.960784,-0.758774,0.439436,0.741774
509,9.980392,-0.758762,0.439386,0.741716
510,10.000000,-0.758790,0.439398,0.741688
511,10.019608,-0.758877,0.439492,0.741699
512,10.039216,-0.759004,0.439626,0.741709
513,10.058824,-0.759133,0.439773,0.741721
514,10.078431,-0.759233,0.439924,0.741745
515,10.098039,-0.759255,0.440004,0.741744
516,10.117647,-0.759200,0.439971,0.741789
517,10.137255,-0.759153,0.439891,0.741764
518,10.156863,-0.759110,0.439850,0.741762
519,10.176471,-0.759090,0.439825,0.741782
520,10.196078,-0.759116,0.439855,0.741820
521,10.215686,-0.759246,0.439928,0.741825
522,10.235294,-0.759434,0.440035,0.741825
523,10.254902,-0.759615,0.440203,0.741834
524,10.274510,-0.759746,0.440385,0.741831
525,10.294118,-0.759826,0.440487,0.741800
526,10.313725,-0.759878,0.440461,0.741727
527,10.333333,-0.759910,0.440358,0.741610
528,10.352941,-0.759900,0.440362,0.741558
529,10.372549,-0.759869,0.440410,0.741511
530,10.392157,-0.759900,0.440364,0.741501
531,10.411765,-0.760043,0.440400,0.741446
532,10.431373,-0.760193,0.440565,0.741459
533,10.450980,-0.760371,0.440721,0.741448
534,10.470588,-0.760453,0.440817,0.741478
535,10.490196,-0.760516,0.440929,0.741488
536,10.509804,-0.760800,0.441422,0.741556
537,10.529412,-0.760911,0.441569,0.741537
538,10.549020,-0.760613,0.440942,0.741344
539,10.568627,-0.760654,0.440943,0.741361
540,10.588235,-0.760731,0.441005,0.741377
541,10.607843,-0.760917,0.441092,0.741398
542,10.627451,-0.761102,0.441101,0.741333
543,10.647059,-0.761264,0.441211,0.741288
544,10.666667,-0.761269,0.441330,0.741279
545,10.686275,-0.761182,0.441444,0.741296
546,10.705882,-0.761074,0.441485,0.741269
547,10.725490,-0.760967,0.441501,0.741237
548,10.745098,-0.760885,0.441559,0.741209
549,10.764706,-0.760875,0.441622,0.741176
550,10.784314,-0.760969,0.441644,0.741154
551,10.803922,-0.761146,0.441671,0.741146
552,10.823529,-0.761334,0.441690,0.741154
553,10.843137,-0.761492,0.441730,0.741166
554,10.862745,-0.761512,0.441774,0.741130
555,10.882353,-0.761537,0.441819,0.741092
556,10.901961,-0.761501,0.441915,0.741104
557,10.921569,-0.761492,0.442007,0.741152
558,10.941176,-0.761516,0.442097,0.741210
559,10.960784,-0.761576,0.442141,0.741261
560,10.980392,-0.761718,0.442141,0.741295
561,11.000000,-0.761905,0.442139,0.741309
562,11.019608,-0.762050,0.442138,0.741321
563,11.039216,-0.762136,0.442130,0.741351
564,11.058824,-0.762122,0.442144,0.741394
565,11.078431,-0.762069,0.442164,0.741409
566,11.098039,-0.761982,0.442298,0.741419
567,11.117647,-0.761901,0.442362,0.741429
568,11.137255,-0.761851,0.442507,0.741437
569,11.156863,-0.761827,0.442684,0.741507
570,11.176471,-0.761898,0.442783,0.741619
