Format Version,1.1,Take Name,Take 2025-06-19 02.14.31 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-19 02.14.31.651 PM,Total Frames,34911,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
479,9.392157,-0.641807,1.192821,0.842247
480,9.411765,-0.641861,1.192882,0.842169
481,9.431373,-0.641983,1.192921,0.842132
482,9.450980,-0.642064,1.192949,0.842098
483,9.470588,-0.642106,1.192970,0.842054
484,9.490196,-0.642180,1.193039,0.842017
485,9.509804,-0.642221,1.193090,0.841997
486,9.529412,-0.642264,1.193171,0.841980
487,9.549020,-0.642280,1.193191,0.841962
488,9.568627,-0.642349,1.193238,0.841978
489,9.588235,-0.642383,1.193259,0.842020
490,9.607843,-0.642383,1.193271,0.842027
491,9.627451,-0.642392,1.193334,0.842030
492,9.647059,-0.642381,1.193335,0.842071
493,9.666667,-0.642437,1.193370,0.842102
494,9.686275,-0.642516,1.193409,0.842123
495,9.705882,-0.642627,1.193471,0.842150
496,9.725490,-0.642751,1.193522,0.842145
497,9.745098,-0.642874,1.193553,0.842131
498,9.764706,-0.642971,1.193595,0.842134
499,9.784314,-0.643039,1.193663,0.842126
500,9.803922,-0.643007,1.193682,0.842055
501,9.823529,-0.643072,1.193718,0.842020
502,9.843137,-0.643103,1.193761,0.842030
503,9.862745,-0.643177,1.193821,0.842054
504,9.882353,-0.643299,1.193849,0.842065
505,9.901961,-0.643368,1.193889,0.842087
506,9.921569,-0.643493,1.193916,0.842119
507,9.941176,-0.643526,1.193959,0.842160
508,9.960784,-0.643613,1.194029,0.842182
509,9.980392,-0.643647,1.194042,0.842173
510,10.000000,-0.643724,1.194074,0.842145
511,10.019608,-0.643841,1.194152,0.842144
512,10.039216,-0.643938,1.194184,0.842171
513,10.058824,-0.644128,1.194253,0.842193
514,10.078431,-0.644205,1.194286,0.842155
515,10.098039,-0.644285,1.194328,0.842101
516,10.117647,-0.644304,1.194391,0.842081
517,10.137255,-0.644298,1.194428,0.842021
518,10.156863,-0.644342,1.194474,0.841967
519,10.176471,-0.644375,1.194519,0.841918
520,10.196078,-0.644450,1.194586,0.841914
521,10.215686,-0.644500,1.194641,0.841887
522,10.235294,-0.644575,1.194684,0.841859
523,10.254902,-0.644658,1.194718,0.841839
524,10.274510,-0.644721,1.194788,0.841854
525,10.294118,-0.644735,1.194840,0.841873
526,10.313725,-0.644749,1.194903,0.841863
527,10.333333,-0.644651,1.194941,0.841772
528,10.352941,-0.644623,1.194997,0.841701
529,10.372549,-0.644587,1.195052,0.841673
530,10.392157,-0.644635,1.195094,0.841644
531,10.411765,-0.644678,1.195131,0.841605
532,10.431373,-0.644709,1.195168,0.841594
533,10.450980,-0.644817,1.195233,0.841595
