A0,A1,A2,A5,A6,A7
48.11,28.42,0.00,16.80,23.66,23.30
48.33,27.99,0.00,16.73,23.51,23.08
47.61,29.21,0.00,17.16,24.16,23.73
48.40,28.06,0.00,16.66,23.44,23.08
47.82,29.43,0.00,17.16,24.31,23.80
48.55,28.20,0.00,16.66,23.59,23.22
48.11,29.50,0.00,17.38,24.45,23.95
48.76,28.27,0.00,16.80,23.73,23.30
48.19,28.20,0.00,16.88,23.87,23.30
48.69,29.79,0.00,17.67,24.88,24.02
49.27,28.42,0.00,16.88,24.02,23.37
48.83,29.86,0.00,17.60,24.96,24.16
49.56,28.56,0.00,17.02,24.23,23.51
49.05,30.08,0.00,17.74,25.10,24.31
49.77,28.78,0.00,17.02,24.23,23.66
49.34,30.22,0.00,17.74,25.17,24.38
50.28,29.57,0.00,17.45,24.81,24.16
50.42,29.00,0.00,17.38,24.52,23.87
49.63,30.37,0.00,17.96,25.46,24.60
50.57,29.14,0.00,17.31,24.67,23.95
49.92,30.65,0.00,17.96,25.60,24.74
50.71,29.28,0.00,17.31,24.81,24.02
50.28,30.73,0.00,18.03,25.82,24.81
50.93,29.36,0.00,17.38,24.88,24.16
50.13,29.43,0.00,17.38,24.96,24.16
50.64,31.02,0.00,18.17,25.97,25.03
51.21,29.36,0.00,17.60,25.10,24.16
50.93,31.02,0.00,18.32,26.11,24.96
51.58,29.57,0.00,17.74,25.17,24.31
51.07,31.23,0.00,18.46,26.25,25.10
51.86,29.86,0.00,17.74,25.32,24.38
51.43,31.23,0.00,18.54,26.33,25.17
52.30,30.73,0.00,18.10,26.04,24.96
52.44,30.15,0.00,18.03,25.60,24.67
51.65,31.52,0.00,18.54,26.47,25.39
52.51,30.15,0.00,17.96,25.60,24.67
51.94,31.74,0.00,18.61,26.40,25.46
52.73,30.29,0.00,17.96,25.68,24.81
52.22,31.81,0.00,18.68,26.69,25.53
53.09,30.44,0.00,18.03,25.82,24.81
52.30,30.58,0.00,18.03,25.97,24.88
52.73,32.24,0.00,18.90,27.05,25.68
53.31,30.73,0.00,18.10,26.04,24.96
52.95,32.17,0.00,18.90,27.05,25.75
53.67,30.80,0.00,18.25,26.18,25.10
53.09,32.39,0.00,18.97,27.19,25.82
53.88,30.87,0.00,18.46,26.33,25.17
53.45,32.46,0.00,19.11,27.41,26.04
54.61,31.81,0.00,18.82,27.05,25.82
54.32,31.16,0.00,18.46,26.47,25.39
53.74,32.60,0.00,19.11,27.41,26.18
54.32,31.30,0.00,18.54,26.54,25.46
53.88,32.82,0.00,19.18,27.48,26.25
54.75,31.30,0.00,18.54,26.54,25.53
54.10,32.96,0.00,19.26,27.55,26.33
55.04,31.52,0.00,18.68,26.69,25.68
54.10,31.66,0.00,18.75,26.90,25.60
54.82,33.25,0.00,19.55,27.99,26.54
55.25,31.66,0.00,18.75,27.05,25.68
54.82,33.32,0.00,19.55,28.13,26.69
55.54,31.81,0.00,18.82,27.26,25.89
55.11,33.32,0.00,19.62,28.20,26.76
55.83,31.88,0.00,18.97,27.26,25.97
55.33,33.40,0.00,19.69,28.27,26.90
56.41,32.75,0.00,19.40,27.91,26.61
56.63,32.03,0.00,19.18,27.55,26.25
55.76,33.61,0.00,19.83,28.49,27.12
56.63,32.24,0.00,19.11,27.70,26.33
56.05,33.76,0.00,19.83,28.78,27.26
56.91,32.31,0.00,19.11,27.77,26.47
56.19,34.05,0.00,19.91,28.78,27.41
57.06,32.46,0.00,19.26,27.84,26.61
56.12,32.60,0.00,19.33,27.91,26.61
56.77,34.26,0.00,20.27,29.00,27.48
57.42,32.60,0.00,19.47,28.06,26.54
56.91,34.33,0.00,20.34,29.21,27.48
57.78,32.82,0.00,19.47,28.20,26.69
57.13,34.48,0.00,20.27,29.28,27.62
58.07,32.96,0.00,19.55,28.27,26.83
57.35,34.69,0.00,20.34,29.43,27.77
58.50,33.90,0.00,19.98,28.92,27.55
58.79,33.18,0.00,19.83,28.49,27.12
57.64,34.77,0.00,20.48,29.57,27.91
58.79,33.25,0.00,19.76,28.49,27.12
58.07,34.98,0.00,20.56,29.79,28.06
59.08,33.54,0.00,19.91,28.85,27.19
58.36,35.20,0.00,20.63,29.86,28.20
59.29,33.68,0.00,19.83,28.85,27.34
58.28,33.76,0.00,19.98,28.92,27.34
58.79,35.56,0.00,20.92,30.01,28.27
59.44,33.83,0.00,20.12,29.00,27.34
58.86,35.49,0.00,20.92,30.15,28.35
59.73,33.90,0.00,20.12,29.07,27.41
59.22,35.63,0.00,20.99,30.22,28.42
60.09,34.12,0.00,20.19,29.28,27.55
59.51,35.78,0.00,20.99,30.37,28.42
60.67,35.13,0.00,20.63,29.93,28.20
60.95,34.33,0.00,20.41,29.57,27.70
59.80,35.92,0.00,21.13,30.58,28.71
60.67,34.48,0.00,20.41,29.57,27.91
60.02,36.14,0.00,21.20,30.73,28.85
60.95,34.48,0.00,20.41,29.72,27.91
60.38,36.21,0.00,21.35,30.87,28.85
61.24,34.55,0.00,20.56,29.79,27.91
60.30,34.69,0.00,20.48,29.93,27.99
60.95,36.43,0.00,21.49,31.02,29.00
61.60,34.62,0.00,20.70,30.01,28.06
61.03,36.50,0.00,21.49,31.23,29.07
61.68,34.84,0.00,20.70,30.15,28.20
61.24,36.57,0.00,21.57,31.30,29.28
62.04,34.91,0.00,20.84,30.22,28.35
61.46,36.64,0.00,21.71,31.38,29.28
62.83,35.99,0.00,21.28,30.94,29.00
62.83,35.13,0.00,21.13,30.51,28.63
61.82,36.79,0.00,21.71,31.59,29.43
62.76,35.27,0.00,20.99,30.58,28.63
62.11,37.08,0.00,21.71,31.81,29.64
62.90,35.56,0.00,20.99,30.65,28.71
62.25,37.22,0.00,21.93,31.74,29.72
63.12,35.56,0.00,21.13,30.73,28.85
