Format Version,1.1,Take Name,Take 2025-06-30 05.13.35 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.13.35.279 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
1077,8.975000,-0.728347,1.413908,0.556611
1078,8.983333,-0.728376,1.413926,0.556617
1079,8.991667,-0.728401,1.413952,0.556633
1080,9.000000,-0.728393,1.413944,0.556627
1081,9.008333,-0.728402,1.413950,0.556633
1082,9.016667,-0.728395,1.413956,0.556629
1083,9.025000,-0.728408,1.413978,0.556634
1084,9.033333,-0.728419,1.413982,0.556638
1085,9.041667,-0.728406,1.413951,0.556640
1086,9.050000,-0.728369,1.413906,0.556628
1087,9.058333,-0.728360,1.413891,0.556616
1088,9.066667,-0.728374,1.413885,0.556617
1089,9.075000,-0.724835,1.411962,0.553747
1090,9.083333,-0.724751,1.411899,0.553712
1091,9.091667,-0.724699,1.411866,0.553690
1092,9.100000,-0.728311,1.413831,0.556618
1093,9.108333,-0.724812,1.411951,0.553752
1094,9.116667,-0.728334,1.413850,0.556627
1095,9.125000,-0.724738,1.411890,0.553720
1096,9.133333,-0.724748,1.411889,0.553724
1097,9.141667,-0.724762,1.411910,0.553734
1098,9.150000,-0.728396,1.413904,0.556661
1099,9.158333,-0.728394,1.413922,0.556663
1100,9.166667,-0.728408,1.413943,0.556670
1101,9.175000,-0.728421,1.413971,0.556679
1102,9.183333,-0.728422,1.413970,0.556681
1103,9.191667,-0.728433,1.413986,0.556676
1104,9.200000,-0.728432,1.413977,0.556660
1105,9.208333,-0.728419,1.413964,0.556650
1106,9.216667,-0.728389,1.413934,0.556635
1107,9.225000,-0.728374,1.413915,0.556628
1108,9.233333,-0.728359,1.413906,0.556620
1109,9.241667,-0.724756,1.411947,0.553688
1110,9.250000,-0.724780,1.411934,0.553700
1111,9.258333,-0.728309,1.413824,0.556587
1112,9.266667,-0.724714,1.411874,0.553668
1113,9.275000,-0.728314,1.413816,0.556583
1114,9.283333,-0.724794,1.411921,0.553706
1115,9.291667,-0.724762,1.411912,0.553700
1116,9.300000,-0.724720,1.411888,0.553687
1117,9.308333,-0.724718,1.411894,0.553681
1118,9.316667,-0.728365,1.413894,0.556624
1119,9.325000,-0.728398,1.413936,0.556643
1120,9.333333,-0.728422,1.413958,0.556663
1121,9.341667,-0.728414,1.413947,0.556657
1122,9.350000,-0.728414,1.413955,0.556669
1123,9.358333,-0.728412,1.413979,0.556673
1124,9.366667,-0.728440,1.413995,0.556678
1125,9.375000,-0.728418,1.413966,0.556671
1126,9.383333,-0.728393,1.413921,0.556650
1127,9.391667,-0.728365,1.413896,0.556642
1128,9.400000,-0.728367,1.413881,0.556640
1129,9.408333,-0.724774,1.411921,0.553725
1130,9.416667,-0.724731,1.411900,0.553716
1131,9.425000,-0.724717,1.411894,0.553690
1132,9.433333,-0.728319,1.413847,0.556613
1133,9.441667,-0.728323,1.413838,0.556601
1134,9.450000,-0.724737,1.411898,0.553695
1135,9.458333,-0.724723,1.411894,0.553694
1136,9.466667,-0.724720,1.411888,0.553679
1137,9.475000,-0.724733,1.411903,0.553681
1138,9.483333,-0.728358,1.413892,0.556610
1139,9.491667,-0.728366,1.413918,0.556619
1140,9.500000,-0.728393,1.413951,0.556635
1141,9.508333,-0.728410,1.413957,0.556631
1142,9.516667,-0.728419,1.413953,0.556638
1143,9.525000,-0.728402,1.413955,0.556637
1144,9.533333,-0.728415,1.413965,0.556641
1145,9.541667,-0.728421,1.413969,0.556639
1146,9.550000,-0.728417,1.413960,0.556651
1147,9.558333,-0.728382,1.413928,0.556638
1148,9.566667,-0.728372,1.413913,0.556645
1149,9.575000,-0.728352,1.413892,0.556624
1150,9.583333,-0.724767,1.411946,0.553719
1151,9.591667,-0.724771,1.411929,0.553717
1152,9.600000,-0.728313,1.413821,0.556613
1153,9.608333,-0.728298,1.413802,0.556603
1154,9.616667,-0.728306,1.413814,0.556602
1155,9.625000,-0.728337,1.413851,0.556623
1156,9.633333,-0.724775,1.411923,0.553726
1157,9.641667,-0.724711,1.411870,0.553699
1158,9.650000,-0.724671,1.411856,0.553682
1159,9.658333,-0.728371,1.413887,0.556627
1160,9.666667,-0.728409,1.413931,0.556640
1161,9.675000,-0.728414,1.413947,0.556661
1162,9.683333,-0.728409,1.413962,0.556665
1163,9.691667,-0.728396,1.413974,0.556651
1164,9.700000,-0.728403,1.413983,0.556653
1165,9.708333,-0.728422,1.413996,0.556662
1166,9.716667,-0.728404,1.413973,0.556643
1167,9.725000,-0.728373,1.413938,0.556631
1168,9.733333,-0.728364,1.413920,0.556625
1169,9.741667,-0.728367,1.413902,0.556618
1170,9.750000,-0.724710,1.411903,0.553668
1171,9.758333,-0.724704,1.411892,0.553670
1172,9.766667,-0.728306,1.413835,0.556593
1173,9.775000,-0.728320,1.413827,0.556595
1174,9.783333,-0.728308,1.413814,0.556592
1175,9.791667,-0.728312,1.413812,0.556593
1176,9.800000,-0.724751,1.411884,0.553694
